cfg_id,geom,N_o,d_max_m,d_short,d_long,d_int,N_total,B_max_m,sigma_th_mJy,sigma_c_mJy,sigma_total_mJy,n_det_low,MSL_dB,HPBW_arcmin,uv_reach_klam,f_det,f_sens,f_beam,f_uv,F_score,pareto
asym_no6_sh500_lo10000_int1000,asymmetric,6,10000,500,10000,1000,16960,11983.65,9.532501393828522,0.09191330804587071,9.532944502069581,2,-4.402931454087199,250.28545173511097,0.29959125,0.9999999995,0.999531552839511,0.6843270067004508,0.7997817599856328,0.8709100797563987,False
asym_no6_sh1000_lo10000_int1000,asymmetric,6,10000,1000,10000,1000,16960,11983.65,9.532501393828522,0.09191330804587071,9.532944502069581,2,-4.360106054334797,251.04253810231765,0.29959125,0.9999999995,0.999531552839511,0.6261755450082438,0.7997817599856328,0.856372214333347,False
asym_no6_sh250_lo10000_int1000,asymmetric,6,10000,250,10000,1000,16960,11983.65,9.532501393828522,0.09191330804587071,9.532944502069581,2,-4.358388019830324,249.95730694600047,0.29959125,0.9999999995,0.999531552839511,0.6238426720344855,0.7997817599856328,0.8557889960899073,False
asym_no6_sh2000_lo10000_int1000,asymmetric,6,10000,2000,10000,1000,16960,11983.65,9.532501393828522,0.09191330804587071,9.532944502069581,2,-4.262985280310447,252.02505862999936,0.29959125,0.9999999995,0.999531552839511,0.49429785086301253,0.7997817599856328,0.8234027907970392,False
asym_no6_sh500_lo7000_int1000,asymmetric,6,7000,500,7000,1000,16960,8983.65,9.532501393828522,0.12260683730598348,9.533289844534094,2,-4.409396263217429,250.2713107411498,0.22459125,0.9999999995,0.9985183795252245,0.6931053976240044,0.5995635226408425,0.8227968248225178,False
asym_no6_sh500_lo10000_int2000,asymmetric,6,10000,500,10000,2000,16960,12983.65,9.532501393828522,0.08483415017840887,9.532878875574745,2,-4.209172372089876,252.37973448275193,0.32459125,0.9999999995,0.999724089292772,0.4212267461208011,0.8665211724338965,0.8218680018368674,False
asym_no6_sh500_lo7000_int5000,asymmetric,6,7000,500,7000,5000,16960,12983.65,9.532501393828522,0.08483415017840887,9.532878875574745,2,-4.208706053353623,252.61987363764547,0.32459125,0.9999999995,0.999724089292772,0.4205935444161038,0.8665211724338965,0.8217097014106931,False
sym_no6_d7000,symmetric,6,7000,7000,7000,7000,16960,14983.65,9.532501393828522,0.07351058747127026,9.532784830772858,2,-4.093983908749173,253.92136369391253,0.37459125,0.9999999995,1.0,0.26481542125125496,0.9999999973304234,0.8162038545204195,True
asym_no6_sh500_lo10000_int3000,asymmetric,6,10000,500,10000,3000,16960,13983.65,9.532501393828522,0.07876748302223656,9.532826817881693,2,-4.122704642194465,252.75680048267972,0.34959125,0.9999999995,0.9998768172970685,0.303814534870091,0.93326058488216,0.8092379841373298,False
asym_no6_sh1000_lo7000_int1000,asymmetric,6,7000,1000,7000,1000,16960,8983.65,9.532501393828522,0.12260683730598348,9.533289844534094,2,-4.36813165398587,251.029521020267,0.22459125,0.9999999995,0.9985183795252245,0.6370732915176661,0.5995635226408425,0.8087887982959332,False
