Configuration,Band,Freq_MHz,HPBW_arcmin,MSL_dB,Omega_B_sr,G_peak
Config A,1-5,3.0,579.24,-3.02,0.022298,394.5
Config A,5-10,7.5,242.84,-3.13,0.003919,2244.46
Config A,10-20,15.0,123.46,-3.15,0.001013,8683.39
Config A,20-40,30.0,63.79,-3.79,0.00027,32527.95
Config B,1-5,3.0,582.58,-3.04,0.022555,390.0
Config B,5-10,7.5,236.36,-3.1,0.003713,2369.21
Config B,10-20,15.0,120.56,-3.03,0.000966,9106.07
Config B,20-40,30.0,62.9,-4.02,0.000263,33459.55
Core Only,1-5,3.0,589.76,-3.05,0.023115,380.55
Core Only,5-10,7.5,236.24,-3.02,0.003709,2371.62
Core Only,10-20,15.0,119.43,-3.08,0.000948,9280.17
Core Only,20-40,30.0,62.35,-4.03,0.000258,34050.81
