Configuration,Band,Freq_MHz,sigma_th_mJy,sigma_c_mJy,sigma_total_mJy,fiveSig_mJy
Config A,1-5,3.0,112.45598,0.12808,112.45605,562.28025
Config A,5-10,7.5,9.28717,0.10663,9.28778,46.43892
Config A,10-20,15.0,1.08315,0.09283,1.08713,5.43563
Config A,20-40,30.0,0.12633,0.08081,0.14996,0.74982
Config B,1-5,3.0,117.64641,0.12045,117.64647,588.23236
Config B,5-10,7.5,9.71582,0.10028,9.71634,48.58171
Config B,10-20,15.0,1.13315,0.0873,1.13651,5.68253
Config B,20-40,30.0,0.13216,0.076,0.15245,0.76226
Core Only,1-5,3.0,119.48469,2.02276,119.50181,597.50906
Core Only,5-10,7.5,9.86764,1.68406,10.01031,50.05156
Core Only,10-20,15.0,1.15085,1.46606,1.86381,9.31905
Core Only,20-40,30.0,0.13422,1.27628,1.28331,6.41657
